CSO_LEA,Census Year,No_formal_education,Primary_edu,Upper_secondary_edu,Advanced_cert_or_apprenticeship,Honours_bachelor,Postgraduate,population,p_edu_NoFormal,p_edu_Primary,p_edu_UpperSecondary,p_edu_Apprenticeship,p_edu_HonoursBachelor,p_edu_Postgraduate
LIFFORD-STRANORLAR,2022,974,2450,3458,1368,1691,1006,10947,0.08897414816844798,0.22380560884260528,0.31588563076642,0.12496574403946287,0.15447154471544716,0.0918973234676167
LIMERICK CITY EAST,2022,576,1716,4180,1538,3566,2859,14435,0.0399030135088327,0.11887772774506408,0.2895739521995151,0.10654658815379286,0.24703844821614132,0.19806027017665398
LIMERICK CITY NORTH,2022,566,2290,4836,1751,2626,2009,14078,0.040204574513425205,0.16266515129990056,0.3435147037931524,0.12437846284983663,0.18653217786617418,0.142704929677511
LIMERICK CITY WEST,2022,430,1338,3893,1718,3921,3028,14328,0.03001116694584031,0.09338358458961474,0.27170575097710775,0.11990508096035735,0.27365996649916247,0.21133445002791737
LISMORE,2022,199,757,1504,716,805,534,4515,0.04407530454042082,0.16766334440753045,0.33311184939091915,0.1585825027685493,0.17829457364341086,0.11827242524916944
LISTOWEL,2022,607,2065,4158,1626,1955,1326,11737,0.05171679304762716,0.17593933713896226,0.3542642924086223,0.13853625287552185,0.16656726591122092,0.1129760586180455
LONGFORD,2022,434,1000,2119,1083,993,653,6282,0.0690862782553327,0.1591849729385546,0.3373129576567972,0.17239732569245464,0.15807067812798473,0.10394778732887615
LOUGHREA,2022,363,1473,3380,1303,2071,1532,10122,0.03586247777119146,0.14552459988144636,0.3339261015609563,0.1287295000987947,0.20460383323453862,0.1513534874530725
LUCAN,2022,517,1220,5619,2400,5548,4752,20056,0.02577782209812525,0.06082967690466693,0.2801655364978061,0.11966493817311527,0.27662544874351813,0.23693657758276826
MACROOM,2022,451,1528,4560,2136,3793,2846,15314,0.0294501763092595,0.09977798093248008,0.2977667493796526,0.13948021418310044,0.24768185973618911,0.18584301945931828
MALLOW,2022,418,1405,3876,1825,2405,1729,11658,0.03585520672499571,0.12051809915937553,0.33247555326814204,0.15654486189740952,0.20629610567850404,0.14831017327157317
MANORHAMILTON,2022,302,649,1386,653,910,727,4627,0.06526907283336936,0.1402636697644262,0.29954614220877457,0.14112816079533175,0.19667170953101362,0.1571212448670845
MAYNOOTH,2022,254,850,3077,1254,3837,3829,13101,0.019387832989848103,0.06488054346996412,0.23486756736127012,0.09571788413098237,0.2928784062285322,0.2922677658194031
MIDLETON,2022,605,1948,5955,2864,4109,3191,18672,0.03240145672664953,0.10432733504712939,0.318926735218509,0.1533847472150814,0.22006212510711226,0.17089760068551843
MILFORD,2022,338,1156,1776,727,1135,884,6016,0.05618351063829787,0.19215425531914893,0.29521276595744683,0.12084441489361702,0.18866356382978725,0.14694148936170212
MOATE,2022,375,1102,2606,990,1565,1117,7755,0.048355899419729204,0.14210186976144423,0.33604126370083814,0.1276595744680851,0.20180528691166988,0.1440361057382334
MONAGHAN,2022,628,1392,2793,1344,1649,1039,8845,0.07100056529112493,0.15737704918032788,0.3157716223855285,0.1519502543810062,0.18643301300169587,0.11746749576031656
MUINEBEAG,2022,218,1171,2062,975,1259,856,6541,0.03332823727258829,0.17902461397339856,0.31524231768842687,0.14905977679253937,0.19247821434031492,0.130866839932732
MULLINGAR,2022,505,1201,3466,1508,2264,1721,10665,0.0473511486169714,0.11261134552273792,0.32498827941865915,0.14139709329582748,0.21228316924519455,0.16136896390060948
NAAS,2022,409,1193,4959,2051,5262,4503,18377,0.02225608097077869,0.06491810415192904,0.26984817978995485,0.1116068999292594,0.2863361810959351,0.2450345540621429
NAVAN,2022,643,1592,5008,2201,2714,2056,14214,0.04523709019276769,0.1120022513015337,0.3523286900239201,0.15484733361474604,0.19093851132686085,0.14464612354017167
NENAGH,2022,385,1253,3179,1372,1790,1325,9304,0.04138005159071367,0.13467325881341358,0.3416809974204643,0.14746345657781598,0.19239036973344797,0.14241186586414445
NEW ROSS,2022,627,2004,4011,1769,2076,1238,11725,0.05347547974413646,0.17091684434968016,0.342089552238806,0.15087420042643923,0.17705756929637526,0.1055863539445629
