"CSO_LEA","Census Year","p_age_12to17","p_age_18to54","p_age_55to64","p_age_65to70","p_age_71plus","Population"
"CONAMARA SOUTH",2022,0.110358799381564,0.500346537292744,0.164258676760676,0.131097723516554,0.0939382630484619,18757
"CORCA DHUIBHNE",2022,0.0965070514922926,0.482617251557888,0.168907838635618,0.151771072482781,0.10019678583142,12196
"CORK CITY NORTH EAST",2022,0.0954583921015515,0.593399153737659,0.134950634696756,0.0993229901269393,0.0768688293370945,35450
"CORK CITY NORTH WEST",2022,0.0913540929464496,0.571066289219155,0.144049304081151,0.112556027364945,0.0809742863882991,33912
"CORK CITY SOUTH CENTRAL",2022,0.0577960361264425,0.639582288008028,0.135066482689413,0.0893439538384345,0.0782112393376819,31888
"CORK CITY SOUTH EAST",2022,0.0955076246737189,0.557136969363924,0.157466684984201,0.100810550899849,0.0890781700783075,36395
"CORK CITY SOUTH WEST",2022,0.0872396493184007,0.569350833628946,0.135407692697512,0.107991689048802,0.10001013530634,39466
"DONAGHMEDE",2022,0.0901126071649332,0.583756618022521,0.126958531538069,0.0955145260555242,0.103657717218952,37209
"DONEGAL",2022,0.103787811585204,0.478621484964073,0.163798456488956,0.144371507140956,0.109420739820811,22546
"DROGHEDA RURAL",2022,0.149336137767845,0.577954515577757,0.129091626133824,0.0851189693703168,0.0584987511502563,15214
"DROGHEDA URBAN",2022,0.100065717415115,0.556495071193866,0.149397590361446,0.104841182913472,0.0892004381161008,22825
"DUNDALK SOUTH",2022,0.114193504085697,0.573988875918423,0.133763647600082,0.102932088168647,0.075121884227151,29126
"DUNDALK-CARLINGFORD",2022,0.115290669272106,0.531509526135808,0.146995603321935,0.114655593551539,0.0915486077186126,20470
"DUNDRUM",2022,0.086256036735017,0.532222310189217,0.142546116697015,0.114836513340195,0.124139023038556,25262
"DUNGARVAN",2022,0.111424223637491,0.513047398974243,0.156174265907682,0.124048920701122,0.0953051907794623,17743
"DÚN LAOGHAIRE",2022,0.0894952973903828,0.520439793350113,0.15114584713207,0.117393032189694,0.12152602993774,37745
"EDENDERRY",2022,0.124528878476113,0.562952022002648,0.142609758582052,0.0993175104410716,0.0705918304981155,19634
"ENNIS",2022,0.110209550749991,0.552201585588268,0.147504373394871,0.105222019577921,0.0848624706889493,26867
"ENNISCORTHY",2022,0.106052789957871,0.531940503825982,0.154371937064741,0.118777405210214,0.0888573639411916,23262
"ENNISTIMON",2022,0.0963830661734484,0.489176599534183,0.172763392245513,0.14063570352103,0.101041238525825,14598
"FERMOY",2022,0.118237190970978,0.539982410996384,0.141005178984398,0.112927917657405,0.0878473013908342,30701
"FIRHOUSE-BOHERNABREENA",2022,0.117880242019612,0.586897558940121,0.143473120522985,0.10042422977954,0.0513248487377425,28758
"GALWAY CITY CENTRAL",2022,0.0544619126987702,0.641109959908104,0.117212487048966,0.106130906797603,0.0810847335465562,22199
"GALWAY CITY EAST",2022,0.0952227094391876,0.651096238172167,0.113501038541426,0.0771290099238403,0.0630510039233787,21665
"GALWAY CITY WEST",2022,0.0994309962387887,0.595910888224515,0.134390973092873,0.093258752049378,0.077008390394445,20738
"GLENCULLEN-SANDYFORD",2022,0.0973420871498915,0.635993011065813,0.114470270556467,0.0821729231746704,0.0700217080531583,37774
