Statistic Label,Census Year,Sex,General Health,CSO Local Electoral Areas 2022,UNIT,VALUE
General Health of Population,2022,Males,Fair,"Navan, Meath",Number,1544
General Health of Population,2022,Males,Fair,"Monaghan, Monaghan",Number,980
General Health of Population,2022,Males,Fair,"Carrickmacross-Castleblayney, Monaghan",Number,1038
General Health of Population,2022,Males,Fair,"Ballybay-Clones, Monaghan",Number,852
General Health of Population,2022,Males,Fair,"Birr, Offaly",Number,1302
General Health of Population,2022,Males,Fair,"Tullamore, Offaly",Number,1306
General Health of Population,2022,Males,Fair,"Edenderry, Offaly",Number,1124
General Health of Population,2022,Males,Fair,"Boyle, Roscommon",Number,1355
General Health of Population,2022,Males,Fair,"Roscommon, Roscommon",Number,1224
General Health of Population,2022,Males,Fair,"Athlone, Roscommon",Number,806
General Health of Population,2022,Males,Fair,"Ballymote-Tobercurry, Sligo",Number,1428
General Health of Population,2022,Males,Fair,"Sligo-Drumcliff, Sligo",Number,714
General Health of Population,2022,Males,Fair,"Sligo-Strandhill, Sligo",Number,1159
General Health of Population,2022,Males,Fair,"Cavan-Belturbet, Cavan",Number,1363
General Health of Population,2022,Males,Fair,"Bailieborough-Cootehill, Cavan",Number,1043
General Health of Population,2022,Males,Fair,"Ballyjamesduff, Cavan",Number,1231
General Health of Population,2022,Males,Fair,"Nenagh, Tipperary",Number,1134
General Health of Population,2022,Males,Fair,"Roscrea-Templemore, Tipperary",Number,842
General Health of Population,2022,Males,Fair,"Carrick-On-Suir, Tipperary",Number,1057
General Health of Population,2022,Males,Fair,"Clonmel, Tipperary",Number,1167
General Health of Population,2022,Males,Fair,"Cashel-Tipperary, Tipperary",Number,1410
General Health of Population,2022,Males,Fair,"Newport, Tipperary",Number,682
General Health of Population,2022,Males,Fair,"Thurles, Tipperary",Number,1040
General Health of Population,2022,Males,Fair,"Cahir, Tipperary",Number,696
General Health of Population,2022,Males,Fair,"Dungarvan, Waterford",Number,977
General Health of Population,2022,Males,Fair,"Portlaw-Kilmacthomas, Waterford",Number,765
General Health of Population,2022,Males,Fair,"Lismore, Waterford",Number,483
General Health of Population,2022,Males,Fair,"Tramore-Waterford City West, Waterford",Number,1093
General Health of Population,2022,Males,Fair,"Waterford City South, Waterford",Number,1306
General Health of Population,2022,Males,Fair,"Waterford City East, Waterford",Number,932
General Health of Population,2022,Males,Fair,"Athlone, Westmeath",Number,1057
General Health of Population,2022,Males,Fair,"Moate, Westmeath",Number,842
General Health of Population,2022,Males,Fair,"Kinnegad, Westmeath",Number,1039
General Health of Population,2022,Males,Fair,"Mullingar, Westmeath",Number,1197
General Health of Population,2022,Males,Fair,"Gorey, Wexford",Number,1359
General Health of Population,2022,Males,Fair,"Kilmuckridge, Wexford",Number,848
General Health of Population,2022,Males,Fair,"New Ross, Wexford",Number,1434
General Health of Population,2022,Males,Fair,"Rosslare, Wexford",Number,1077
General Health of Population,2022,Males,Fair,"Wexford, Wexford",Number,1521
General Health of Population,2022,Males,Fair,"Enniscorthy, Wexford",Number,1446
General Health of Population,2022,Males,Fair,"Baltinglass, Wicklow",Number,1138
General Health of Population,2022,Males,Fair,"Bray West, Wicklow",Number,697
General Health of Population,2022,Males,Fair,"Greystones, Wicklow",Number,942
General Health of Population,2022,Males,Fair,"Wicklow, Wicklow",Number,1249
General Health of Population,2022,Males,Fair,"Arklow, Wicklow",Number,1284
General Health of Population,2022,Males,Fair,"Bray East, Wicklow",Number,834
General Health of Population,2022,Males,Fair,"Rush-Lusk, Fingal",Number,1337
General Health of Population,2022,Males,Fair,"Swords, Fingal",Number,1633
General Health of Population,2022,Males,Fair,"Blanchardstown-Mulhuddart, Fingal",Number,1282
General Health of Population,2022,Males,Fair,"Castleknock, Fingal",Number,1455
General Health of Population,2022,Males,Fair,"Howth-Malahide, Fingal",Number,2301
General Health of Population,2022,Males,Fair,"Stillorgan, Dún Laoghaire-Rathdown",Number,810
General Health of Population,2022,Males,Fair,"Dundrum, Dún Laoghaire-Rathdown",Number,1152
General Health of Population,2022,Males,Fair,"Glencullen-Sandyford, Dún Laoghaire-Rathdown",Number,1381
General Health of Population,2022,Males,Fair,"Killiney-Shankill, Dún Laoghaire-Rathdown",Number,1470
General Health of Population,2022,Males,Fair,"Dún Laoghaire, Dún Laoghaire-Rathdown",Number,1708
General Health of Population,2022,Males,Fair,"Blackrock, Dún Laoghaire-Rathdown",Number,1010
General Health of Population,2022,Males,Fair,"Lucan, South Dublin",Number,1645
General Health of Population,2022,Males,Fair,"Tallaght Central, South Dublin",Number,1722
General Health of Population,2022,Males,Fair,"Rathfarnham-Templeogue, South Dublin",Number,1912
General Health of Population,2022,Males,Fair,"Firhouse-Bohernabreena, South Dublin",Number,1150
General Health of Population,2022,Males,Fair,"Tallaght South, South Dublin",Number,1778
General Health of Population,2022,Males,Fair,"Clondalkin, South Dublin",Number,2099
General Health of Population,2022,Males,Fair,"Balbriggan, Fingal",Number,1590
General Health of Population,2022,Males,Fair,"Ongar, Fingal",Number,1295
General Health of Population,2022,Males,Fair,"Palmerstown-Fonthill, South Dublin",Number,1053
General Health of Population,2022,Males,Fair,"Ballymun-Finglas, Dublin City",Number,2604
General Health of Population,2022,Males,Fair,"Cabra-Glasnevin, Dublin City",Number,2485
General Health of Population,2022,Males,Fair,"Ballyfermot-Drimnagh, Dublin City",Number,2459
General Health of Population,2022,Males,Fair,"Kimmage-Rathmines, Dublin City",Number,2442
General Health of Population,2022,Males,Fair,"Pembroke, Dublin City",Number,1217
General Health of Population,2022,Males,Fair,"South East Inner City, Dublin City",Number,1520
General Health of Population,2022,Males,Fair,"North Inner City, Dublin City",Number,2743
General Health of Population,2022,Males,Fair,"Clontarf, Dublin City",Number,2149
General Health of Population,2022,Males,Fair,"Donaghmede, Dublin City",Number,2005
General Health of Population,2022,Males,Fair,"Artane-Whitehall, Dublin City",Number,2470
General Health of Population,2022,Males,Fair,"South West Inner City, Dublin City",Number,1853
General Health of Population,2022,Males,Fair,"Ennistimon, Clare",Number,791
General Health of Population,2022,Males,Fair,"Killaloe, Clare",Number,812
General Health of Population,2022,Males,Fair,"Shannon, Clare",Number,1295
General Health of Population,2022,Males,Fair,"Ennis, Clare",Number,1462
General Health of Population,2022,Males,Fair,"Kilrush, Clare",Number,1180
General Health of Population,2022,Males,Fair,"Kanturk, Cork County",Number,1145
General Health of Population,2022,Males,Fair,"Fermoy, Cork County",Number,1544
General Health of Population,2022,Males,Fair,"Midleton, Cork County",Number,1830
General Health of Population,2022,Males,Fair,"Carrigaline, Cork County",Number,1191
General Health of Population,2022,Males,Fair,"Cobh, Cork County",Number,1332
General Health of Population,2022,Males,Fair,"Bandon-Kinsale, Cork County",Number,1354
General Health of Population,2022,Males,Fair,"Bantry-West Cork, Cork County",Number,1218
General Health of Population,2022,Males,Fair,"Skibbereen-West Cork, Cork County",Number,1361
General Health of Population,2022,Males,Fair,"Macroom, Cork County",Number,1263
General Health of Population,2022,Males,Fair,"Mallow, Cork County",Number,1317
General Health of Population,2022,Males,Fair,"Cork City North West, Cork City",Number,2111
General Health of Population,2022,Males,Fair,"Cork City North East, Cork City",Number,1796
General Health of Population,2022,Males,Fair,"Cork City South East, Cork City",Number,1589
General Health of Population,2022,Males,Fair,"Cork City South Central, Cork City",Number,1814
General Health of Population,2022,Males,Fair,"Cork City South West, Cork City",Number,1940
General Health of Population,2022,Males,Fair,"Glenties, Donegal",Number,1597
General Health of Population,2022,Males,Fair,"Milford, Donegal",Number,682
General Health of Population,2022,Males,Fair,"Carndonagh, Donegal",Number,912
General Health of Population,2022,Males,Fair,"Buncrana, Donegal",Number,1159
General Health of Population,2022,Males,Fair,"Donegal, Donegal",Number,1349
General Health of Population,2022,Males,Fair,"Letterkenny, Donegal",Number,1413
General Health of Population,2022,Males,Fair,"Lifford-Stranorlar, Donegal",Number,1561
General Health of Population,2022,Males,Fair,"Conamara North, Galway County",Number,979
General Health of Population,2022,Males,Fair,"Tuam, Galway County",Number,1576
General Health of Population,2022,Males,Fair,"Ballinasloe, Galway County",Number,1456
General Health of Population,2022,Males,Fair,"Loughrea, Galway County",Number,1132
General Health of Population,2022,Males,Fair,"Athenry-Oranmore, Galway County",Number,1288
General Health of Population,2022,Males,Fair,"Gort-Kinvara, Galway County",Number,911
General Health of Population,2022,Males,Fair,"Conamara South, Galway County",Number,1032
General Health of Population,2022,Males,Fair,"Galway City West, Galway City",Number,868
General Health of Population,2022,Males,Fair,"Galway City Central, Galway City",Number,1225
General Health of Population,2022,Males,Fair,"Galway City East, Galway City",Number,1209
General Health of Population,2022,Males,Fair,"Listowel, Kerry",Number,1404
General Health of Population,2022,Males,Fair,"Castleisland, Kerry",Number,767
General Health of Population,2022,Males,Fair,"Killarney, Kerry",Number,1205
General Health of Population,2022,Males,Fair,"Kenmare, Kerry",Number,1265
General Health of Population,2022,Males,Fair,"Corca Dhuibhne, Kerry",Number,684
General Health of Population,2022,Males,Fair,"Tralee, Kerry",Number,1648
General Health of Population,2022,Males,Fair,"Maynooth, Kildare",Number,1057
General Health of Population,2022,Males,Fair,"Celbridge, Kildare",Number,847
General Health of Population,2022,Males,Fair,"Naas, Kildare",Number,1496
General Health of Population,2022,Males,Fair,"Athy, Kildare",Number,1351
General Health of Population,2022,Males,Fair,"Kildare, Kildare",Number,1206
General Health of Population,2022,Males,Fair,"Clane, Kildare",Number,1182
General Health of Population,2022,Males,Fair,"Leixlip, Kildare",Number,635
General Health of Population,2022,Males,Fair,"Newbridge, Kildare",Number,1385
General Health of Population,2022,Males,Fair,"Castlecomer, Kilkenny",Number,1006
General Health of Population,2022,Males,Fair,"Kilkenny, Kilkenny",Number,1214
General Health of Population,2022,Males,Fair,"Piltown, Kilkenny",Number,904
General Health of Population,2022,Males,Fair,"Callan-Thomastown, Kilkenny",Number,1104
General Health of Population,2022,Males,Fair,Ireland,Number,212809
General Health of Population,2022,Males,Bad,"Borris-In-Ossory-Mountmellick, Laois",Number,187
General Health of Population,2022,Males,Bad,"Portlaoise, Laois",Number,254
General Health of Population,2022,Males,Bad,"Graiguecullen -Portarlington, Laois",Number,200
General Health of Population,2022,Males,Bad,"Carlow, Carlow",Number,227
General Health of Population,2022,Males,Bad,"Tullow, Carlow",Number,166
General Health of Population,2022,Males,Bad,"Muinebeag, Carlow",Number,111
General Health of Population,2022,Males,Bad,"Manorhamilton, Leitrim",Number,89
General Health of Population,2022,Males,Bad,"Ballinamore, Leitrim",Number,79
General Health of Population,2022,Males,Bad,"Carrick-On-Shannon, Leitrim",Number,109
General Health of Population,2022,Males,Bad,"Newcastle West, Limerick",Number,180
General Health of Population,2022,Males,Bad,"Adare-Rathkeale, Limerick",Number,203
General Health of Population,2022,Males,Bad,"Cappamore-Kilmallock, Limerick",Number,262
General Health of Population,2022,Males,Bad,"Limerick City West, Limerick",Number,292
General Health of Population,2022,Males,Bad,"Limerick City North, Limerick",Number,347
General Health of Population,2022,Males,Bad,"Limerick City East, Limerick",Number,258
General Health of Population,2022,Males,Bad,"Granard, Longford",Number,72
General Health of Population,2022,Males,Bad,"Ballymahon, Longford",Number,108
General Health of Population,2022,Males,Bad,"Longford, Longford",Number,154
General Health of Population,2022,Males,Bad,"Dundalk-Carlingford, Louth",Number,232
General Health of Population,2022,Males,Bad,"Dundalk South, Louth",Number,235
General Health of Population,2022,Males,Bad,"Ardee, Louth",Number,159
General Health of Population,2022,Males,Bad,"Drogheda Rural, Louth",Number,122
General Health of Population,2022,Males,Bad,"Drogheda Urban, Louth",Number,303
General Health of Population,2022,Males,Bad,"Ballina, Mayo",Number,211
General Health of Population,2022,Males,Bad,"Claremorris, Mayo",Number,178
General Health of Population,2022,Males,Bad,"Castlebar, Mayo",Number,219
General Health of Population,2022,Males,Bad,"Belmullet, Mayo",Number,126
General Health of Population,2022,Males,Bad,"Westport, Mayo",Number,119
General Health of Population,2022,Males,Bad,"Swinford, Mayo",Number,153
General Health of Population,2022,Males,Bad,"Kells, Meath",Number,229
General Health of Population,2022,Males,Bad,"Laytown-Bettystown, Meath",Number,244
