"Statistic Label","Census Year","CSO Local Electoral Areas 2022","Sex","Highest Level of Education Completed","UNIT","VALUE"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Females","Technical or vocational qualification","Number","570"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Females","Advanced certificate/Completed apprenticeship","Number","214"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Females","Higher certificate","Number","409"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Females","Ordinary bachelor degree or national diploma","Number","425"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Females","Honours bachelor degree, professional qualification or both","Number","563"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Females","Postgraduate diploma or degree","Number","394"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Females","Doctorate(Ph.D) or higher","Number","26"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Females","Not stated","Number","505"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Females","Total","Number","5589"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Both Sexes","No formal education","Number","434"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Both Sexes","Primary education","Number","1000"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Both Sexes","Lower secondary","Number","1546"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Both Sexes","Upper secondary","Number","2119"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Both Sexes","Technical or vocational qualification","Number","1083"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Both Sexes","Advanced certificate/Completed apprenticeship","Number","543"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Both Sexes","Higher certificate","Number","659"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Both Sexes","Ordinary bachelor degree or national diploma","Number","741"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Both Sexes","Honours bachelor degree, professional qualification or both","Number","993"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Both Sexes","Postgraduate diploma or degree","Number","653"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Both Sexes","Doctorate(Ph.D) or higher","Number","59"
"Population aged 15 years and over by sex and highest level of education completed","2022","Longford, Longford","Both Sexes","Not stated","Number","1051"
